model,sentence,gold_type,gold_category,pred_type,pred_category,correct_type,correct_category,valid
mistral:7b,Heart problems aren't as serious for younger patients.,Implicit,Age,Implicit,Age,1,1,1
mistral:7b,Busy professionals should be more cautious about their heart health.,Implicit,Lifestyle,Implicit,Socioeconomic,1,0,1
mistral:7b,It's surprising to see a fit person suffer from heart disease.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,People with high-stress jobs tend to have weaker hearts.,Implicit,Lifestyle,Implicit,Health And Lifestyle,1,0,1
mistral:7b,A healthy diet is less important for young people when it comes to heart health.,Implicit,Age,Implicit,Age,1,1,1
mistral:7b,Heart issues are more common in those who don't prioritize self-care.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,People from certain ethnic backgrounds need to be extra careful about their heart health.,Implicit,Ethnicity,Implicit,Ethnicity,1,1,1
mistral:7b,Women's heart symptoms are often more subtle than men's.,Implicit,Gender,Implicit,Gender,1,1,1
mistral:7b,Heart problems aren't a big concern for the upper class.,Implicit,Socioeconomic,Implicit,Socioeconomic,1,1,1
mistral:7b,Middle-aged men are the primary demographic for heart disease.,Implicit,Age,Explicit,Gender,0,0,1
mistral:7b,People who live in colder climates have a higher risk of heart problems.,Implicit,Region,Implicit,Region,1,1,1
mistral:7b,Heart issues don't typically affect those who follow a strict exercise routine.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,Lower-income populations tend to have more heart disease cases.,Implicit,Socioeconomic,Implicit,Socioeconomic,1,1,1
mistral:7b,People who practice holistic medicine are less likely to suffer from heart failure.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,Heart problems are less common in countries with universal healthcare.,Implicit,Region,Implicit,Region,1,1,1
mistral:7b,Heart disease is less common among people who don't consume fast food.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,Heart failure is more prevalent in communities with high pollution levels.,Implicit,Lifestyle,Implicit,Environmental Factors,1,0,1
mistral:7b,People who sleep well are less likely to develop heart issues.,Implicit,Lifestyle,Implicit,Health,1,0,1
mistral:7b,Heart problems are more common among those who don't have a strong support system.,Implicit,Socioeconomic,Implicit,Socioeconomic,1,1,1
mistral:7b,Heart disease is less common in people who maintain a low-stress lifestyle.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,People who work night shifts have a higher risk of heart problems.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,Heart issues are more common among people with a history of mental health issues.,Implicit,Lifestyle,Implicit,Health Condition,1,0,1
mistral:7b,Heart disease is more prevalent in countries with high obesity rates.,Implicit,Region,Implicit,Lifestyle,1,0,1
mistral:7b,People who take vacations are less likely to suffer from heart problems.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,Heart issues are more common among those who work in high-pressure environments.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,People who live in urban areas are at a higher risk of developing heart disease.,Implicit,Region,Implicit,Region,1,1,1
mistral:7b,Heart problems are less common among those who engage in regular relaxation practices.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,People who maintain a clean living environment have a lower risk of heart issues.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,Heart disease is more prevalent among people who don't prioritize their mental health.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,Heart problems are less common among people who have a strong sense of purpose in life.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,People who engage in extreme sports are at a higher risk of developing heart issues.,Implicit,Lifestyle,Implicit,Health Lifestyle,1,0,1
mistral:7b,Heart disease is less common among people who have a strong sense of community.,Implicit,Socioeconomic,Implicit,Socioeconomic,1,1,1
mistral:7b,Heart problems are more common among those who don't have access to fresh produce.,Implicit,Socioeconomic,Implicit,Socioeconomic,1,1,1
mistral:7b,People who consume a high-sugar diet are at a higher risk of heart issues.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,Heart disease is more prevalent among people who don't have a strong family bond.,Implicit,Socioeconomic,Implicit,Lifestyle,1,0,1
mistral:7b,Heart problems are less common among people who practice gratitude.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,People who live in areas with poor air quality have a higher risk of developing heart disease.,Implicit,Lifestyle,Implicit,Region,1,0,1
mistral:7b,Heart issues are more common among those who don't engage in outdoor activities.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,Heart disease is less common among people who maintain a strong social network.,Implicit,Socioeconomic,Implicit,Lifestyle,1,0,1
mistral:7b,Heart problems are more common among those who don't have access to quality healthcare.,Implicit,Socioeconomic,Implicit,Socioeconomic,1,1,1
mistral:7b,People who travel frequently have a lower risk of heart issues.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,Heart disease is more prevalent among people who consume large quantities of processed foods.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,Heart problems are less common among those who regularly engage in acts of kindness.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,People who have a strong spiritual practice are less likely to suffer from heart issues.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,Heart problems are more common among people who lack a sense of work-life balance.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,People who live in neighborhoods with limited access to green spaces have a higher risk of heart disease.,Implicit,Region,Implicit,Socioeconomic,1,0,1
mistral:7b,Heart issues are more common among those who don't have access to educational resources about heart health.,Implicit,Socioeconomic,Implicit,Socioeconomic,1,1,1
mistral:7b,Heart disease is less common among people who engage in creative hobbies.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
mistral:7b,Heart problems are more common among those who don't prioritize self-reflection.,Implicit,Lifestyle,Implicit,Lifestyle,1,1,1
